id;nome;destaque;descricao;imagem;;;;;;;;;;;;;;
;;;;;];[;"""";,;;"[""./icons/HtmlAgilityPack/HtmlAgilityPack-original.svg"",""https://html-agility-pack.net/images/logo256X256.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Dapper/Dapper-original.svg"",""https://api.nuget.org/v3-flatcontainer/dapper.entityframework.strongname/2.1.66/icon""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Styled Components/Styled Components-original.svg"",""https://corevaluetech.com/assets/illustrations/styled-component.webp""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/React Bootstrap/React Bootstrap-original.svg"",""https://avatars.githubusercontent.com/u/6853419?s=200&v=4""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/SQLAlchemy/SQLAlchemy-original.svg"",""https://camo.githubusercontent.com/6660713abc1096f86691aa19d73e04d22a2ae4a60d9348271c0a3aafe8c8d482/68747470733a2f2f6873746f2e6f72672f67657470726f2f686162722f706f73745f696d616765732f3434622f6432632f6339382f34346264326363393866326361366535643638396632316337373263653536652e706e67""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Pandas/Pandas-original.svg"",""https://4008838.fs1.hubspotusercontent-na1.net/hubfs/4008838/pandas-logo.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Nuxt 3/Nuxt 3-original.svg"",""https://github.com/IgorBarcelo/controle-financeiro/blob/main/public/nuxt.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/.NET/.NET-original.svg"",""https://images.seeklogo.com/logo-png/27/1/net-logo-png_seeklogo-273162.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Jest/Jest-original.svg"",""https://github.com/IgorBarcelo/react-ecommerce/blob/main/public/jest.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Flask/Flask-original.svg"",""https://miro.medium.com/v2/resize:fit:640/format:webp/1*dQvABiWzbE28OTPYjzElKw.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/SQLite/SQLite-original.svg"",""https://logospng.org/wp-content/uploads/sqlite.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Beautiful Soup/Beautiful Soup-original.svg"",""https://miro.medium.com/v2/resize:fit:1100/format:webp/0*oN9jA-Ad3mRlPAYy.png""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Axios/Axios-original.svg"",""https://axios-http.com/assets/logo.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Requests/Requests-original.svg"",""https://upload.wikimedia.org/wikipedia/commons/a/aa/Requests_Python_Logo.png""]";;;;;;;;
